company,total_links,active_months,max_monthly_count,avg_monthly_count,partner_count,hscode_count,fish_hscode_ratio,total_weightkg,total_value_omu,isolation_label,anomaly_score,dbscan_cluster,hierarchical_cluster,hierarchical_subcluster,hierarchical_microcluster,cluster_path,cluster_path_3,business_mode,nearest_company,nearest_similarity
Rift Valley fishery Inc,39001,84,689,464.2976,1531,1542,0.0969,2537093885.0,0.0,anomaly,0.6246,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Uttarakhand  Market Limited Liability Company Nautical,0.9823
Playa de la Luna Incorporated,27807,84,1418,331.0357,698,964,0.0259,476273875.0,46977445.0,anomaly,0.6104,-1,6,1,0,C6-S1,C6-S1-T0,general_trader,Deep Blue ОАО Chart,0.9839
Coastal Cruisers Pic Shipping,82130,84,1555,977.7381,375,967,0.0002,1291041195.0,0.0,anomaly,0.6082,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Marine Mates Cruise ship,0.974
Estrella del Mar Seafarer,40158,84,881,478.0714,1619,1869,0.0026,178796090.0,0.0,anomaly,0.6079,-1,0,1,0,C0-S1,C0-S1-T0,general_trader,Portuguese Tuna Incorporated Marine,0.9922
Coral del Sur AG Seabass,2873,81,79,35.4691,143,125,0.0801,4887850650.0,27928330.0,anomaly,0.6043,-1,6,0,0,C6-S0,C6-S0-T0,niche_or_shell,SeaFusion Ges.m.b.H. and Son's,0.9272
ReefRider Foods Ltd. Corporation Family,52621,84,1619,626.4405,755,1187,0.0242,877234465.0,4243570.0,anomaly,0.6018,-1,4,0,0,C4-S0,C4-S0-T0,general_trader,Coral Cove BV Delivery,0.9591
Caracola Azul Oyj &,40231,84,837,478.9405,1210,1331,0.0899,1257453890.0,190615.0,anomaly,0.5692,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Kong zhong diao yu  Ges.m.b.H.,0.9891
Orange River   GmbH & Co. KG Shipping,63202,84,2400,752.4048,320,985,0.0001,826535765.0,0.0,anomaly,0.5655,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Náutica del Norte Kga Holdings,0.9969
nián yú Ltd. Corporation,29195,84,764,347.5595,79,63,0.9812,596132485.0,0.0,anomaly,0.5647,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,Sea Breezes S.A. de C.V. Freight ,0.9923
Ianira Starfish Sagl Import,53215,84,1265,633.5119,126,139,0.0,4038704115.0,0.0,anomaly,0.5474,-1,4,1,0,C4-S1,C4-S1-T0,niche_or_shell,Playa del Tesoro BV,0.9914
Pao gan LC Freight ,36476,84,737,434.2381,1167,1181,0.2581,642143915.0,0.0,anomaly,0.5458,0,4,0,1,C4-S0,C4-S0-T1,fish_network_expander,Kong zhong diao yu  Ges.m.b.H.,0.9962
Niger Bend   Limited Liability Company Marine ecology,15839,84,492,188.5595,121,186,0.9492,326122080.0,3528935.0,anomaly,0.5445,0,5,0,0,C5-S0,C5-S0-T0,niche_or_shell,Estrella del Mar Tilapia Oyj Marine,0.8908
Náutica del Norte Kga Holdings,55555,84,2186,661.369,391,947,0.0001,380632065.0,0.0,anomaly,0.5403,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Orange River   GmbH & Co. KG Shipping,0.9969
Saltwater Supreme Pelican Ltd Enterprises,30445,84,683,362.4405,1109,1391,0.2003,1135133970.0,0.0,anomaly,0.5381,0,4,0,1,C4-S0,C4-S0-T1,fish_network_expander,SeaTree Ltd. Liability Co Holdings,0.9957
Sea Breezes S.A. de C.V. Freight ,24764,84,648,294.8095,87,15,1.0,531307320.0,0.0,anomaly,0.5345,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,nián yú Ltd. Corporation,0.9923
Fisherman's Best Marine conservation,22465,84,403,267.4405,1086,1277,0.0994,858657925.0,6934185.0,anomaly,0.5312,-1,4,0,1,C4-S0,C4-S0-T1,general_trader,Océano de Coral Corporation Express,0.9754
Uttarakhand  Market Limited Liability Company Nautical,26479,84,534,315.2262,1002,1120,0.2335,1209045545.0,1177325.0,anomaly,0.5212,0,4,0,1,C4-S0,C4-S0-T1,fish_network_expander,Saltwater Supreme Pelican Ltd Enterprises,0.9885
Yu xian  SRL Industrial,22838,84,506,271.881,1076,1035,0.4154,488792185.0,314140.0,anomaly,0.5212,0,4,0,1,C4-S0,C4-S0-T1,fish_network_expander,The Sea Turtle GmbH & Co. KG,0.9834
Tamil Nadu   Corporation Compass,17167,84,431,204.369,401,746,0.1995,8644962325.0,1514960.0,anomaly,0.5195,-1,3,0,0,C3-S0,C3-S0-T0,general_trader,Lake Motoso  Sagl Brothers,0.9757
Coastal Castaway Coast Corporation Worldwide,31211,84,1196,371.5595,834,1084,0.0788,1935974395.0,0.0,anomaly,0.5181,0,4,0,0,C4-S0,C4-S0-T0,general_trader,Dubingiai Ltd. Liability Co,0.9544
Yu gan  Sea spray GmbH Industrial,11349,79,666,143.6582,350,605,0.5376,248198740.0,3200540.0,anomaly,0.5177,0,5,0,0,C5-S0,C5-S0-T0,general_trader,Océano de Coral Corporation Express,0.7804
Danish Shrimp Kga Solutions,31415,84,523,373.9881,181,258,0.0,13312166180.0,0.0,anomaly,0.5048,-1,3,0,1,C3-S0,C3-S0-T1,niche_or_shell,Jammu & Kashmir  AB Consultants,0.9911
Madhya Pradesh  Market LLC,6960,42,457,165.7143,43,18,0.997,146571930.0,0.0,anomaly,0.5046,0,5,1,0,C5-S1,C5-S1-T0,niche_or_shell,Greek Octopus SRL Logistics,0.9886
Black Sea Tuna Snapper,26735,84,468,318.2738,1197,1352,0.1044,405437695.0,1030260.0,anomaly,0.5002,0,4,0,1,C4-S0,C4-S0-T1,general_trader,lú yú GmbH & Co. KG,0.9946
Barents Sea Cod CJSC Export,40045,84,841,476.7262,1175,705,0.0001,344381095.0,0.0,anomaly,0.496,0,4,0,0,C4-S0,C4-S0-T0,general_trader,Fresh Limited Liability Company,0.9885
Deep Blue ОАО Chart,4021,82,156,49.0366,469,827,0.0022,2615280.0,22936140.0,anomaly,0.4883,-1,6,0,0,C6-S0,C6-S0-T0,general_trader,Playa de la Luna Incorporated,0.9839
Kilimajaro Slopes   Incorporated and Son's,1831,20,213,91.55,7,3,0.9989,41173545.0,0.0,anomaly,0.4847,0,2,3,0,C2-S3,C2-S3-T0,niche_or_shell,Náutica del Sol Brothers,0.9956
Saltwater Symphony S.A. de C.V.,42170,84,1361,502.0238,463,1083,0.0001,811408245.0,0.0,anomaly,0.4824,0,4,0,0,C4-S0,C4-S0-T0,general_trader,Mar y Luna Sagl,0.9893
Selous Game Reserve  A/S,34406,84,616,409.5952,488,684,0.0002,3115208615.0,0.0,anomaly,0.4768,0,4,1,1,C4-S1,C4-S1-T1,general_trader,Greek Sea Bass LLC,0.9406
Caracola Azul Ltd. Corporation,20632,84,388,245.619,1132,1224,0.1664,701425570.0,976545.0,anomaly,0.4763,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Black Sea Tuna Snapper,0.9942
SeaTree Ltd. Liability Co Holdings,24909,84,525,296.5357,1005,1283,0.1066,1056787630.0,0.0,anomaly,0.4757,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Saltwater Supreme Pelican Ltd Enterprises,0.9957
Icelandic Cod Pier ОАО Transport,32646,84,684,388.6429,220,409,0.0001,4399998740.0,0.0,anomaly,0.4634,0,4,1,0,C4-S1,C4-S1-T0,general_trader,Lake Kainji  S.p.A. Export,0.9667
Playa del Tesoro BV,35448,84,811,422.0,219,249,0.0005,2636528545.0,0.0,anomaly,0.4556,0,4,1,1,C4-S1,C4-S1-T1,niche_or_shell,Ianira Starfish Sagl Import,0.9914
-54,15254,84,311,181.5952,631,895,0.1383,1992126995.0,3525880.0,anomaly,0.4444,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Fisherman's Best Marine conservation,0.9166
The Sea Turtle GmbH & Co. KG,16436,84,339,195.6667,867,938,0.346,378959060.0,1266175.0,anomaly,0.4442,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Yu xian  SRL Industrial,0.9834
Greek Octopus SRL Logistics,3110,41,533,75.8537,18,3,0.9971,60590760.0,0.0,anomaly,0.4437,0,5,1,0,C5-S1,C5-S1-T0,niche_or_shell,Saltwater Sanctuary ОАО Merchants,0.9913
SeaFusion Ges.m.b.H. and Son's,2537,84,97,30.2024,200,263,0.4742,39090730.0,19624925.0,anomaly,0.4429,-1,6,0,0,C6-S0,C6-S0-T0,niche_or_shell,Kerala s S.A. de C.V.,0.9704
suō yú Incorporated Brothers,39638,84,1460,471.881,315,858,0.0001,495388940.0,0.0,anomaly,0.4425,0,4,0,0,C4-S0,C4-S0-T0,general_trader,Náutica del Norte Kga Holdings,0.9913
Turkish Sword S.A. de C.V. Trout,17496,84,377,208.2857,1252,1312,0.0225,186972310.0,765085.0,anomaly,0.4366,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Barco de Plata Corp,0.9926
Fisherman's Bounty AG Solutions,32212,75,1432,429.4933,154,550,0.0,409584550.0,0.0,anomaly,0.4356,0,4,0,0,C4-S0,C4-S0-T0,general_trader,Orange River   GmbH & Co. KG Shipping,0.9872
Saltwater Sanctuary ОАО Merchants,3006,37,357,81.2432,27,12,0.9983,59177345.0,0.0,anomaly,0.4309,0,5,1,0,C5-S1,C5-S1-T0,niche_or_shell,Greek Octopus SRL Logistics,0.9913
Selkie Ltd. Liability Co,10008,84,1628,119.1429,339,500,0.1036,137679925.0,2213655.0,anomaly,0.428,0,4,0,0,C4-S0,C4-S0-T0,general_trader,Saltwater Sisters Inc Seafaring,0.9329
Saltwater Sisters Inc Seafaring,24238,84,2980,288.5476,111,574,0.0002,119664430.0,0.0,anomaly,0.4257,-1,4,0,0,C4-S0,C4-S0-T0,general_trader,Togo  S.A. de C.V.,0.9412
Portuguese Tuna Incorporated Marine,26130,84,587,311.0714,818,1059,0.1004,379441200.0,271225.0,anomaly,0.422,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Estrella del Mar Seafarer,0.9922
Lake Kainji  S.p.A. Export,19822,84,658,235.9762,391,233,0.0003,4331806800.0,0.0,anomaly,0.4175,0,4,1,0,C4-S1,C4-S1-T0,niche_or_shell,Lake Motoso  Sagl Brothers,0.9795
Black Sea Tuna Sagl,14200,84,767,169.0476,716,975,0.1299,452559955.0,2138680.0,anomaly,0.4164,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Océano de Coral Corporation Express,0.9481
-2821,8261,40,347,206.525,2,6,0.0001,1060663020.0,0.0,anomaly,0.4131,0,1,0,0,C1-S0,C1-S0-T0,niche_or_shell,Harbah Ltd. Liability Co Consultants,0.86
3 Oceanography ОАО Marine life,14248,84,292,169.619,827,764,0.5283,281863085.0,0.0,anomaly,0.408,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Yu xian  SRL Industrial,0.9685
Togo  S.A. de C.V.,19917,84,2055,237.1071,417,895,0.0086,81322885.0,0.0,anomaly,0.4077,-1,4,0,0,C4-S0,C4-S0-T0,general_trader,Belgian Shrimps Ocean Corp Holdings,0.9538
lú yú GmbH & Co. KG,21798,84,359,259.5,936,1144,0.0593,645412550.0,639260.0,anomaly,0.4067,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Congo Rapids   Ltd. Corporation,0.9947
Náutica del Sol Brothers,3287,36,201,91.3056,54,30,0.8664,146094305.0,0.0,anomaly,0.4056,0,5,1,0,C5-S1,C5-S1-T0,niche_or_shell,Kilimajaro Slopes   Incorporated and Son's,0.9956
Seashell s  SRL Consulting,3487,13,404,268.2308,134,304,0.0,48278255.0,0.0,anomaly,0.4051,0,2,0,0,C2-S0,C2-S0-T0,general_trader,Konkan Coast  SE Marine biology,0.986
Dry Creek Pic Marine biology,42027,84,1253,500.3214,186,701,0.0005,316559440.0,0.0,anomaly,0.404,0,4,0,0,C4-S0,C4-S0-T0,general_trader,suō yú Incorporated Brothers,0.9857
Olas del Sur Ltd,14446,84,338,171.9762,270,163,0.9058,354829505.0,193070.0,anomaly,0.403,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,AquaDelight N.V. Coral Reef,0.9804
Jammu & Kashmir  AB Consultants,13590,84,237,161.7857,181,291,0.0,20872973135.0,0.0,anomaly,0.3983,-1,3,1,0,C3-S1,C3-S1-T0,niche_or_shell,Kambala and A/S Shipping,0.9969
Belgian Cod BV Solutions,10077,84,484,119.9643,101,102,0.9865,210114980.0,0.0,anomaly,0.3863,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,Arena del Mar Marine Marine biology,0.9871
Harbah Ltd. Liability Co Consultants,3787,17,395,222.7647,2,139,0.0,31736150.0,0.0,anomaly,0.3768,0,2,0,0,C2-S0,C2-S0-T0,niche_or_shell,Seashell s  SRL Consulting,0.9753
Madagascar Coast  AG Freight ,16958,84,427,201.881,354,456,0.6768,504698820.0,0.0,anomaly,0.3763,0,5,0,0,C5-S0,C5-S0-T0,general_trader,Sea Breeze Corporation Marine sanctuary,0.9332
AquaDelight N.V. Coral Reef,11065,84,296,131.7262,150,157,0.9748,200372870.0,0.0,anomaly,0.3721,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,Belgian Cod BV Solutions,0.9855
Mar de la Vida Incorporated,12258,84,236,145.9286,888,1067,0.0151,171667855.0,3040240.0,anomaly,0.3665,0,4,0,1,C4-S0,C4-S0-T1,general_trader,Spanish Anchovy CJSC Marine,0.9683
Paradera S.A. de C.V.,2280,51,565,44.7059,30,7,0.9991,47607405.0,0.0,anomaly,0.3661,0,5,1,0,C5-S1,C5-S1-T0,niche_or_shell,Greek Octopus SRL Logistics,0.9884
Haryana s Sagl Transport,13321,84,456,158.5833,452,658,0.0999,3445357935.0,0.0,anomaly,0.3657,0,4,1,1,C4-S1,C4-S1-T1,general_trader,Arunachal Pradesh s Brine,0.981
Playa de Arena Submarine S.A. de C.V. Marine,13848,84,285,164.8571,569,780,0.067,3027876270.0,297120.0,anomaly,0.3618,0,4,1,1,C4-S1,C4-S1-T1,general_trader,Konkan Coast  SRL Logistics,0.9783
Olas del Sur Sea,33171,84,678,394.8929,128,234,0.0,1381636305.0,0.0,anomaly,0.3568,0,4,1,1,C4-S1,C4-S1-T1,niche_or_shell,Playa del Tesoro BV,0.9554
páng xiè S.A. de C.V. Line,10069,84,213,119.869,731,759,0.3672,844313890.0,0.0,anomaly,0.3535,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Aqua Aura SE Marine life,0.9716
Marine Mates Cruise ship,32734,84,785,389.6905,307,569,0.0016,461997960.0,0.0,anomaly,0.3533,0,4,1,1,C4-S1,C4-S1-T1,general_trader,Dry Creek Pic Marine biology,0.9781
Playa del Tesoro OJSC,7266,84,174,86.5,23,51,0.9174,1262791780.0,0.0,anomaly,0.3523,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,Fresh Wharf SRL Consulting,0.9998
Konkan Coast  SRL Logistics,11006,84,286,131.0238,624,807,0.1362,2273063530.0,0.0,anomaly,0.3503,0,4,1,1,C4-S1,C4-S1-T1,general_trader,Playa de Arena Submarine S.A. de C.V. Marine,0.9783
Lake Motoso  Sagl Brothers,15003,84,466,178.6071,265,326,0.0011,5277681035.0,0.0,anomaly,0.3481,0,4,1,0,C4-S1,C4-S1-T0,general_trader,Danish Shrimp Kga Solutions,0.9897
Brisa del Este BV,8510,84,191,101.3095,363,131,0.9367,167876555.0,0.0,anomaly,0.347,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,The Salty Dog Limited Liability Company,0.9702
Fresh Wharf SRL Consulting,6950,84,165,82.7381,23,48,0.9109,1204881340.0,0.0,anomaly,0.343,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,Playa del Tesoro OJSC,0.9998
Shou gan  Sagl Mudflat,2722,81,139,33.6049,77,66,0.971,78939580.0,1301910.0,anomaly,0.3408,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Tripura  Pier N.V. Solutions,0.9759
Irish Scallop - Corporation & Son's,6002,47,181,127.7021,637,750,0.0428,62258920.0,0.0,anomaly,0.3401,0,4,0,2,C4-S0,C4-S0-T2,general_trader,TunaTreat Company Marine sanctuary,0.9715
Congo Rapids   Ltd. Corporation,19018,84,348,226.4048,852,1107,0.0477,432365740.0,0.0,anomaly,0.3398,0,4,0,1,C4-S0,C4-S0-T1,general_trader,SilverStream CJSC Marine conservation,0.9959
Maharashtra  Ltd. Liability Co Shipping,12397,84,240,147.5833,889,964,0.2288,401973575.0,0.0,anomaly,0.3388,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Náutica del Sol Corporation,0.9922
-65,6,3,3,2.0,1,2,1.0,120130.0,0.0,anomaly,0.3353,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-34,0.9999
Belgian Shrimps Ocean Corp Holdings,17524,84,1010,208.619,469,625,0.0604,152725145.0,700485.0,anomaly,0.3345,0,4,0,0,C4-S0,C4-S0-T0,general_trader,Togo  S.A. de C.V.,0.9538
Estrella del Mar Tilapia Oyj Marine,3936,84,141,46.8571,94,229,0.6491,76763000.0,3236530.0,anomaly,0.3327,0,5,0,0,C5-S0,C5-S0-T0,niche_or_shell,Niger Bend   Limited Liability Company Marine ecology,0.8908
Greek Sea Bass LLC,27687,84,521,329.6071,203,652,0.0112,1565027080.0,0.0,anomaly,0.3327,0,4,1,1,C4-S1,C4-S1-T1,general_trader,Selous Game Reserve  A/S,0.9406
TunaTreat Company Marine sanctuary,5270,54,403,97.5926,656,773,0.022,69581375.0,0.0,anomaly,0.3327,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Irish Scallop - Corporation & Son's,0.9715
-60,1,1,1,1.0,1,1,1.0,78170.0,0.0,anomaly,0.3281,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-7,1.0
Sea Breeze Sagl Oceanfront,12229,84,254,145.5833,1170,1033,0.091,204259570.0,0.0,anomaly,0.3274,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Barco de Plata Corp,0.9959
Ancla Azul Transportation Seafaring,18308,84,441,217.9524,309,981,0.0027,700602970.0,1648495.0,anomaly,0.326,0,4,0,2,C4-S0,C4-S0-T2,general_trader,Oceanic Oracle GmbH & Co. KG,0.9516
Arena del Mar Marine Marine biology,7512,84,450,89.4286,166,199,0.7804,148791055.0,0.0,anomaly,0.3257,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,Belgian Cod BV Solutions,0.9871
-2105,4936,58,1413,85.1034,39,171,0.0,28233680.0,0.0,normal,0.3226,0,1,1,2,C1-S1,C1-S1-T2,niche_or_shell,Mar de Cristalino Port,0.9701
Volga River LLC Enterprises,8542,84,347,101.6905,207,238,0.7604,334604460.0,63250.0,normal,0.32,0,5,0,1,C5-S0,C5-S0-T1,niche_or_shell,Arena del Mar Marine Marine biology,0.9864
-25,1,1,1,1.0,1,1,1.0,470.0,0.0,normal,0.3199,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-34,1.0
-34,1,1,1,1.0,1,1,1.0,115.0,0.0,normal,0.3199,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-25,1.0
Himachal Pradesh   Plc International,11980,79,964,151.6456,32,110,0.0007,106133910.0,857195.0,normal,0.3197,0,1,1,2,C1-S1,C1-S1-T2,niche_or_shell,Isla del Mar Marine Oyj Transit,0.9611
Water Wonders AS Investment,27,8,11,3.375,4,7,0.963,598435.0,0.0,normal,0.3181,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-24,0.9999
-48,1,1,1,1.0,1,1,1.0,5410.0,0.0,normal,0.318,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,Costa del Mar NV,1.0
lǐyú Limited Liability Company,378,24,34,15.75,6,5,0.9947,5563830.0,0.0,normal,0.3177,0,2,3,0,C2-S3,C2-S3-T0,niche_or_shell,Irish Mackerel Ltd. Liability Co Marine mist,0.9996
David Ltd. Liability Co Forwading,15098,84,279,179.7381,301,377,0.3034,768623265.0,634220.0,normal,0.3174,0,1,1,1,C1-S1,C1-S1-T1,general_trader,Pao gan SE Seal,0.8472
-38,1,1,1,1.0,1,1,1.0,27720.0,0.0,normal,0.3167,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-7,1.0
-7,1,1,1,1.0,1,1,1.0,27845.0,0.0,normal,0.3167,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-38,1.0
Blue Horizon Family &,8119,84,186,96.6548,83,32,0.9575,147620150.0,0.0,normal,0.316,0,5,2,1,C5-S2,C5-S2-T1,niche_or_shell,Wave Watchers Ltd. Liability Co,0.9957
Yu er he  Corporation,8,7,2,1.1429,3,5,0.875,424080.0,0.0,normal,0.3157,0,2,3,0,C2-S3,C2-S3-T0,niche_or_shell,Arunachal Pradesh s AS & Son's,0.9996
Ola de la Costa Corporation United,1,1,1,1.0,1,1,1.0,24660.0,0.0,normal,0.3154,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-38,1.0
-66,51,13,26,3.9231,3,4,1.0,1090315.0,0.0,normal,0.3153,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-24,0.9989
Costa del Mar NV,1,1,1,1.0,1,1,1.0,6710.0,0.0,normal,0.3146,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,-48,1.0
Sea Breeze Corporation Marine sanctuary,10679,84,236,127.131,286,347,0.6869,205668965.0,216185.0,normal,0.3145,0,5,0,0,C5-S0,C5-S0-T0,general_trader,SeaBass &  SE Tanker,0.9758
-42,1,1,1,1.0,1,1,1.0,14820.0,0.0,normal,0.314,0,2,3,1,C2-S3,C2-S3-T1,niche_or_shell,Baltic Salmon GmbH Import,1.0
