company,total_links,active_months,max_monthly_count,avg_monthly_count,activity_cv,partner_count,hscode_count,fish_hscode_ratio,total_weightkg,total_value_omu,q1_temporal_pattern,q1_pattern_risk,revival_score,dormancy_months,dormancy_weight,has_extended_months,q1_inconsistent,bridge_scope,is_relay_successor,business_mode,isolation_label,anomaly_score,dbscan_cluster,hierarchical_cluster,hierarchical_subcluster,hierarchical_microcluster,cluster_path,cluster_path_3,nearest_company,nearest_similarity,bridge_link_count,bridge_partner_sample,relay_predecessors,sig_iso_anomaly,sig_revival,sig_dormancy,sig_q1_inconsistent,sig_q1_risk,sig_bridge,sig_relay,sig_fish,composite_score,signal_count,confidence_tier,evidence_chain
-56,1,1,1,1.0,0.0,1,1,0.0,5085.0,0.0,short_term,3,51.0,60,5.0,1,1,182,0,dormant_revival,anomaly,0.7708,4,7,1,0,C7-S1,C7-S1-T0,-55,1.0,1,Danish Mackerel S.A. de C.V.,,0.7708,0.51,0.9303,1.0,1.0,0.5546,0.0,0.0,0.6952,6,HIGH,"IsolationForest anomaly (score=0.77) | dormant 60mo then revived (revival_score=51), Q1 pattern=short_term | business_mode=dormant_revival"
-51,1,1,1,1.0,0.0,1,1,1.0,19005.0,0.0,short_term,3,51.0,54,5.0,1,1,51,0,dormant_revival,anomaly,0.7648,5,7,1,1,C7-S1,C7-S1-T1,-42,1.0,1,Limpopo River  AB Consultants,,0.7648,0.51,0.8944,1.0,1.0,0.4207,0.0,1.0,0.6949,7,HIGH,"IsolationForest anomaly (score=0.76) | dormant 54mo then revived (revival_score=51), Q1 pattern=short_term | fish HS code ratio=100.0% | business_mode=dormant_revival"
-57,1,1,1,1.0,0.0,1,1,0.0,20705.0,0.0,short_term,3,51.0,67,5.0,1,1,43,0,dormant_revival,anomaly,0.7741,4,7,1,0,C7-S1,C7-S1-T0,-61,0.9998,1,Tripura  BV and Son's,,0.7741,0.51,0.9578,1.0,1.0,0.4029,0.0,0.0,0.685,6,HIGH,"IsolationForest anomaly (score=0.77) | dormant 67mo then revived (revival_score=51), Q1 pattern=short_term | business_mode=dormant_revival"
-59,2,1,2,2.0,0.0,1,1,0.0,36830.0,0.0,short_term,3,43.5,73,5.0,1,1,42,0,dormant_revival,anomaly,0.7852,4,7,1,0,C7-S1,C7-S1-T0,-58,0.9976,1,Senegal Coast  LC Solutions,,0.7852,0.435,0.9707,1.0,1.0,0.4004,0.0,0.0,0.6707,6,HIGH,"IsolationForest anomaly (score=0.79) | dormant 73mo then revived (revival_score=44), Q1 pattern=short_term | business_mode=dormant_revival"
-35,1,1,1,1.0,0.0,1,1,0.0,21400.0,0.0,short_term,3,49.2,41,4.42,1,1,415,0,dormant_revival,anomaly,0.7576,3,7,0,0,C7-S0,C7-S0-T0,-44,0.9999,1,Estrella de Mar Consultants -,,0.7576,0.492,0.7598,1.0,1.0,0.6421,0.0,0.0,0.6706,6,HIGH,"IsolationForest anomaly (score=0.76) | dormant 41mo then revived (revival_score=49), Q1 pattern=short_term | business_mode=dormant_revival"
-61,1,1,1,1.0,0.0,1,1,0.0,13680.0,0.0,short_term,3,51.0,70,5.0,1,1,8,0,dormant_revival,anomaly,0.7705,4,7,1,0,C7-S1,C7-S1-T0,-57,0.9998,1,SaltwaterSatisfactions S.A. de C.V. Overseas,,0.7705,0.51,0.9661,1.0,1.0,0.2339,0.0,0.0,0.6684,5,HIGH,"IsolationForest anomaly (score=0.77) | dormant 70mo then revived (revival_score=51), Q1 pattern=short_term | business_mode=dormant_revival"
-44,1,1,1,1.0,0.0,1,1,0.0,10695.0,0.0,short_term,3,49.5,42,4.5,1,1,214,0,dormant_revival,anomaly,0.7595,3,7,0,0,C7-S0,C7-S0-T0,-45,1.0,1,Greek Sea Bass Co,,0.7595,0.495,0.7733,1.0,1.0,0.5718,0.0,0.0,0.6668,6,HIGH,"IsolationForest anomaly (score=0.76) | dormant 42mo then revived (revival_score=50), Q1 pattern=short_term | business_mode=dormant_revival"
-23,1,1,1,1.0,0.0,1,1,0.0,300.0,0.0,short_term,3,47.5,34,3.83,1,1,1165,0,dormant_revival,anomaly,0.772,3,7,0,0,C7-S0,C7-S0-T0,-35,0.9961,1,Caracola del Este Corporation Express,,0.772,0.475,0.6505,1.0,1.0,0.7518,0.0,0.0,0.6645,6,HIGH,"IsolationForest anomaly (score=0.77) | dormant 34mo then revived (revival_score=48), Q1 pattern=short_term | structural bridge: 1,165 nodes newly reachable via 1 new link(s) | business_mode=dormant_revival"
-43,1,1,1,1.0,0.0,1,1,0.0,18810.0,0.0,short_term,3,51.0,59,5.0,1,1,10,0,dormant_revival,anomaly,0.7559,4,7,1,0,C7-S1,C7-S1-T0,-56,0.9999,1,Sudd Swamp   Marine life,,0.7559,0.51,0.9252,1.0,1.0,0.2553,0.0,0.0,0.6608,5,HIGH,"IsolationForest anomaly (score=0.76) | dormant 59mo then revived (revival_score=51), Q1 pattern=short_term | business_mode=dormant_revival"
-45,1,1,1,1.0,0.0,1,1,0.0,1725.0,0.0,short_term,3,49.5,42,4.5,1,1,79,0,dormant_revival,anomaly,0.7472,3,7,0,0,C7-S0,C7-S0-T0,-44,1.0,1,Playa de Arena Pic,,0.7472,0.495,0.7733,1.0,1.0,0.4665,0.0,0.0,0.6532,6,HIGH,"IsolationForest anomaly (score=0.75) | dormant 42mo then revived (revival_score=50), Q1 pattern=short_term | business_mode=dormant_revival"
-38,1,1,1,1.0,0.0,1,1,1.0,27720.0,0.0,short_term,3,49.0,40,4.33,1,1,19,0,dormant_revival,anomaly,0.7328,-1,7,0,0,C7-S0,C7-S0-T0,-34,0.9992,1,Ocean Quest Corporation Seaside,,0.7328,0.49,0.7457,1.0,1.0,0.3189,0.0,1.0,0.6494,7,HIGH,"IsolationForest anomaly (score=0.73) | dormant 40mo then revived (revival_score=49), Q1 pattern=short_term | fish HS code ratio=100.0% | business_mode=dormant_revival"
-34,1,1,1,1.0,0.0,1,1,1.0,115.0,0.0,short_term,3,48.0,36,4.0,1,1,33,0,dormant_revival,anomaly,0.7465,-1,7,0,0,C7-S0,C7-S0-T0,-38,0.9992,1,Leucosia Limited Liability Company,,0.7465,0.48,0.6841,1.0,1.0,0.3754,0.0,1.0,0.6468,7,HIGH,"IsolationForest anomaly (score=0.75) | dormant 36mo then revived (revival_score=48), Q1 pattern=short_term | fish HS code ratio=100.0% | business_mode=dormant_revival"
-31,1,1,1,1.0,0.0,1,1,0.0,3790.0,0.0,short_term,3,43.8,19,2.58,1,1,605,0,dormant_revival,anomaly,0.7209,2,7,0,1,C7-S0,C7-S0-T1,-11,0.9996,1,French Crab S.p.A. Worldwide,,0.7209,0.438,0.374,1.0,1.0,0.6821,0.0,0.0,0.594,6,HIGH,"IsolationForest anomaly (score=0.72) | dormant 19mo then revived (revival_score=44), Q1 pattern=short_term | structural bridge: 605 nodes newly reachable via 1 new link(s) | business_mode=dormant_revival"
-11,1,1,1,1.0,0.0,1,1,0.0,1515.0,0.0,short_term,3,43.2,17,2.42,1,1,415,0,dormant_revival,anomaly,0.7159,2,7,0,1,C7-S0,C7-S0-T1,-31,0.9996,1,Estrella de Mar Consultants -,,0.7159,0.432,0.3392,1.0,1.0,0.6421,0.0,0.0,0.5821,6,HIGH,"IsolationForest anomaly (score=0.72) | dormant 17mo then revived (revival_score=43), Q1 pattern=short_term | business_mode=dormant_revival"
-30,1,1,1,1.0,0.0,1,1,0.0,52020.0,0.0,short_term,3,44.2,21,2.75,1,1,26,0,dormant_revival,anomaly,0.6859,2,7,0,1,C7-S0,C7-S0-T1,-33,0.9988,1,Ocean Quest A/S Logistics,,0.6859,0.442,0.4101,1.0,1.0,0.3509,0.0,0.0,0.5586,6,HIGH,"IsolationForest anomaly (score=0.69) | dormant 21mo then revived (revival_score=44), Q1 pattern=short_term | business_mode=dormant_revival"
-33,1,1,1,1.0,0.0,1,1,0.0,10835.0,0.0,short_term,3,43.2,17,2.42,1,1,42,0,dormant_revival,anomaly,0.6876,2,7,0,1,C7-S0,C7-S0-T1,-11,0.9996,1,Lake Nasser  AB Logistics,,0.6876,0.432,0.3392,1.0,1.0,0.4004,0.0,0.0,0.5508,6,HIGH,"IsolationForest anomaly (score=0.69) | dormant 17mo then revived (revival_score=43), Q1 pattern=short_term | business_mode=dormant_revival"
Océano de Coral Corporation Express,42796,84,1125,509.4762,0.3309,1736,1825,0.0903,1484429360.0,8516355.0,stable,0,18.0,0,1.0,0,1,867,1,general_trader,anomaly,0.8609,-1,1,1,2,C1-S1,C1-S1-T2,Pao gan SE Seal,0.7458,4,Coastal Cruisers Pic Shipping;Bahía del Sol ОАО;Zambezi Valley  Marine biology;Uttar Pradesh s CJSC,Konkan Coast  SE Marine biology,0.8609,0.18,0.1824,1.0,0.0,0.7204,1.0,0.0903,0.5114,4,MEDIUM,IsolationForest anomaly (score=0.86) | structural bridge: 867 nodes newly reachable via 4 new link(s) | relay successor: inherits predecessor's trade network
xiǎo lóng xiā LC,5922,84,368,70.5,1.1565,227,363,0.0037,75062840.0,0.0,stable,0,21.0,0,1.0,0,1,2269,1,general_trader,anomaly,0.6364,-1,2,2,1,C2-S2,C2-S2-T1,Southeast S.A. de C.V.,0.8469,5,TunaTreat Company Marine sanctuary;Tamil  Nautilus CJSC Consulting;-49;Norwegian King Crab S.A. de C.V.;Gujarat  S.A. de C.V.,Orange River Mouth   &;Seashell s  SRL Consulting;Portuguese Cuttle GmbH Freight ,0.6364,0.21,0.1824,1.0,0.0,0.8227,1.0,0.0037,0.4713,4,MEDIUM,"IsolationForest anomaly (score=0.64) | dormant 0mo then revived (revival_score=21), Q1 pattern=stable | structural bridge: 2,269 nodes newly reachable via 5 new link(s) | relay successor: inherits predecessor's trade network"
hǎi dǎn Corporation Wharf,456641,84,6858,5436.2024,0.1021,5931,3517,0.1266,12341093500.0,36247925.0,stable,0,10.0,0,1.0,0,0,4250,1,diversified_broker,anomaly,1.0,-1,6,0,0,C6-S0,C6-S0-T0,Saltwater Supreme ОАО Forwading,0.9299,31,Uttar Pradesh s CJSC;Oceanic Oracle GmbH & Co. KG;Barents Sea Cod CJSC Export;The Salty Dog Limited Liability Company;Uttar Pradesh s AG,Konkan Coast  SE Marine biology;Orange River Mouth   &;Portuguese Cuttle GmbH Freight ,1.0,0.1,0.1824,0.0,0.0,0.8895,1.0,0.1266,0.4438,3,MEDIUM,"IsolationForest anomaly (score=1.00) | structural bridge: 4,250 nodes newly reachable via 31 new link(s) | relay successor: inherits predecessor's trade network"
Mar del Este CJSC,127910,84,2036,1522.7381,0.1189,2865,1460,0.4996,7846359705.0,24742445.0,stable,0,10.0,0,1.0,0,0,1154,1,diversified_broker,anomaly,0.9458,-1,5,1,0,C5-S1,C5-S1-T0,Selous Game Reserve  S.A. de C.V.,0.964,16,AquaBite Limited Liability Company Marine;Icelandic Cod Pier ОАО Transport;Yu er he  Bonito;TideTurner Tidepool Co Enterprises;SeaSiren Limited Liability Company,Konkan Coast  SE Marine biology;Portuguese Cuttle GmbH Freight ,0.9458,0.1,0.1824,0.0,0.0,0.7508,1.0,0.4996,0.4239,4,MEDIUM,"IsolationForest anomaly (score=0.95) | structural bridge: 1,154 nodes newly reachable via 16 new link(s) | relay successor: inherits predecessor's trade network | fish HS code ratio=50.0%"
Costa de la Felicidad Shipping,163703,84,3406,1948.8452,0.2291,2925,2446,0.1914,3908376805.0,2155025.0,stable,0,9.0,0,1.0,0,0,1105,1,diversified_broker,anomaly,0.9178,-1,5,0,0,C5-S0,C5-S0-T0,Caracola del Sol Services,0.9966,8,suō yú Incorporated Brothers;Surf and Sand & Son's;Bay of Bengal's A/S;Victoria Falls   S.A. de C.V.;Mar de la Vida S.p.A.,Konkan Coast  SE Marine biology;Orange River Mouth   &;Portuguese Cuttle GmbH Freight ,0.9178,0.09,0.1824,0.0,0.0,0.7462,1.0,0.1914,0.4078,3,MEDIUM,"IsolationForest anomaly (score=0.92) | structural bridge: 1,105 nodes newly reachable via 8 new link(s) | relay successor: inherits predecessor's trade network | fish HS code ratio=19.1%"
Caracola del Sol Services,193094,84,3541,2298.7381,0.2171,3667,2594,0.266,4845630370.0,3016505.0,stable,0,10.0,0,1.0,0,0,435,1,diversified_broker,anomaly,0.9253,-1,5,0,0,C5-S0,C5-S0-T0,Costa de la Felicidad Shipping,0.9966,9,Tshimbua GmbH & Co. KG;Chuan gou  N.V. Delivery;Ola Azul SRL United;CoralCrest Inc and Son's;Mount Kenya  Tsunami GmbH & Co. KG Cargo,Konkan Coast  SE Marine biology;Orange River Mouth   &;Portuguese Cuttle GmbH Freight ,0.9253,0.1,0.1824,0.0,0.0,0.6471,1.0,0.266,0.4037,3,MEDIUM,IsolationForest anomaly (score=0.93) | relay successor: inherits predecessor's trade network | fish HS code ratio=26.6%
Saltwater Supreme ОАО Forwading,189446,84,5725,2255.3095,0.5601,1675,1846,0.0247,2436297655.0,12083410.0,stable,0,3.0,0,1.0,0,0,1148,1,high_volume_distributor,anomaly,0.936,-1,5,0,1,C5-S0,C5-S0-T1,Panope Limited Liability Company,0.9872,9,Mar y Luna Sagl;Surf and Sea Seal Ltd Forwading;Caracola del Este Plc United;Baltic Sprat Seafaring Co Holdings;Yu gou  SRL Merchants,Konkan Coast  SE Marine biology,0.936,0.03,0.1824,0.0,0.0,0.7502,1.0,0.0247,0.3944,3,MEDIUM,"IsolationForest anomaly (score=0.94) | structural bridge: 1,148 nodes newly reachable via 9 new link(s) | relay successor: inherits predecessor's trade network"
Belgian Scallop Harbor ОАО Freight ,962,69,76,13.942,1.0957,73,9,0.9896,21750085.0,0.0,stable,0,16.0,0,1.0,0,1,1980,0,general_trader,anomaly,0.4818,-1,2,2,0,C2-S2,C2-S2-T0,Southeast S.A. de C.V.,0.9712,1,Selous Game Reserve  S.A. de C.V.,,0.4818,0.16,0.1824,1.0,0.0,0.8082,0.0,0.9896,0.3884,4,MEDIUM,"structural bridge: 1,980 nodes newly reachable via 1 new link(s) | fish HS code ratio=99.0%"
Uttar Pradesh s CJSC,117494,84,4710,1398.7381,0.5787,395,1203,0.0004,1337542760.0,0.0,stable,0,3.0,0,1.0,0,0,7453,1,high_volume_distributor,anomaly,0.8346,-1,1,1,0,C1-S1,C1-S1-T0,French Crab S.p.A. Worldwide,0.9687,2,hǎi dǎn Corporation Wharf;Océano de Coral Corporation Express,Portuguese Cuttle GmbH Freight ;Orange River Mouth   &;Seashell s  SRL Consulting,0.8346,0.03,0.1824,0.0,0.0,0.9493,1.0,0.0004,0.3884,3,MEDIUM,"IsolationForest anomaly (score=0.83) | structural bridge: 7,453 nodes newly reachable via 2 new link(s) | relay successor: inherits predecessor's trade network"
Madagascar Coast  AG Freight ,16958,84,427,201.881,0.3248,354,456,0.6768,504698820.0,0.0,stable,0,19.0,0,1.0,0,1,112,0,fish_intensive_hub,anomaly,0.5958,-1,2,2,0,C2-S2,C2-S2-T0,Belgian Cod BV Solutions,0.9585,3,Bahía del Sol SRL Solutions;Ethiopian Highlands  Incorporated Marine biology;Surf's Up s Sp,,0.5958,0.19,0.1824,1.0,0.0,0.5033,0.0,0.6768,0.3877,4,MEDIUM,IsolationForest anomaly (score=0.60) | fish HS code ratio=67.7%
French Crab S.p.A. Worldwide,99925,84,2732,1189.5833,0.5476,606,398,0.0,704652150.0,0.0,stable,0,6.0,0,1.0,0,0,5855,1,high_volume_distributor,anomaly,0.8083,-1,1,1,0,C1-S1,C1-S1-T0,Uttar Pradesh s CJSC,0.9687,4,-31;-39;Nile Crocodile  Sailboat Sp Line;hǎi dǎn Corporation Wharf,Portuguese Cuttle GmbH Freight ;Orange River Mouth   &;Gulf of Guinea   Corporation,0.8083,0.06,0.1824,0.0,0.0,0.9236,1.0,0.0,0.3868,3,MEDIUM,"IsolationForest anomaly (score=0.81) | structural bridge: 5,855 nodes newly reachable via 4 new link(s) | relay successor: inherits predecessor's trade network"
Sailors and Surfers Incorporated Enterprises,106612,84,1953,1269.1905,0.179,2704,2331,0.092,10981166120.0,8203480.0,stable,0,0.0,0,1.0,0,0,1380,1,diversified_broker,anomaly,0.9154,-1,5,1,0,C5-S1,C5-S1-T0,Olas del Mar Worldwide,0.9492,9,Mar y Luna Sagl;Marine Muse Ltd. Corporation;Kilimajaro Slopes   N.V. Logistics;Line S.A. de C.V.;Coral Cove Sagl Chart,Konkan Coast  SE Marine biology;Portuguese Cuttle GmbH Freight ;Orange River Mouth   &,0.9154,0.0,0.1824,0.0,0.0,0.7698,1.0,0.092,0.385,3,MEDIUM,"IsolationForest anomaly (score=0.92) | structural bridge: 1,380 nodes newly reachable via 9 new link(s) | relay successor: inherits predecessor's trade network"
Sea Breezes GmbH & Co. KG Shark,75256,84,3256,895.9048,0.7184,532,1055,0.0345,1193315595.0,10387770.0,stable,0,0.0,0,1.0,0,0,4944,1,high_volume_distributor,anomaly,0.8615,-1,1,1,0,C1-S1,C1-S1-T0,Uttar Pradesh s CJSC,0.9047,5,Náutica del Norte Kga Holdings;Fresh Limited Liability Company;Selous Game Reserve  A/S;The Salty Dog Logistics Leska;Ocean Outfitters Limited Liability Company Distribution,Konkan Coast  SE Marine biology,0.8615,0.0,0.1824,0.0,0.0,0.9056,1.0,0.0345,0.384,3,MEDIUM,"IsolationForest anomaly (score=0.86) | structural bridge: 4,944 nodes newly reachable via 5 new link(s) | relay successor: inherits predecessor's trade network"
Belgian Cod BV Solutions,10077,84,484,119.9643,0.9323,101,102,0.9865,210114980.0,0.0,stable,0,22.0,0,1.0,0,1,74,0,fish_network_expander,anomaly,0.5327,-1,2,2,0,C2-S2,C2-S2-T0,-2,0.9776,3,Marine Masterminds Kga Line;David Limited Liability Company Worldwide;Cape of Good Hope   Corporation,,0.5327,0.22,0.1824,1.0,0.0,0.4597,0.0,0.9865,0.3812,4,MEDIUM,"IsolationForest anomaly (score=0.53) | dormant 0mo then revived (revival_score=22), Q1 pattern=stable | fish HS code ratio=98.7%"
Coastal Cruisers Pic Shipping,82130,84,1555,977.7381,0.2349,375,967,0.0002,1291041195.0,0.0,stable,0,3.0,0,1.0,0,0,11470,1,high_volume_distributor,anomaly,0.7868,-1,1,1,0,C1-S1,C1-S1-T0,Barents Sea Cod CJSC Export,0.9013,5,Brisa del Mar LC;Océano de Coral Corporation Express;Black Sea Tuna Snapper;hǎi dǎn Corporation Wharf;Sailors and Surfers Incorporated Enterprises,Portuguese Cuttle GmbH Freight ;Orange River Mouth   &;Seashell s  SRL Consulting,0.7868,0.03,0.1824,0.0,0.0,0.9952,1.0,0.0002,0.3811,3,MEDIUM,"IsolationForest anomaly (score=0.79) | structural bridge: 11,470 nodes newly reachable via 5 new link(s) | relay successor: inherits predecessor's trade network"
Kong zhong diao yu  Ges.m.b.H.,51637,84,1067,614.7262,0.2165,1776,1573,0.251,1106282745.0,487100.0,stable,0,6.0,0,1.0,0,0,4011,1,fish_network_expander,anomaly,0.7709,-1,1,1,2,C1-S1,C1-S1-T2,Black Sea Tuna Snapper,0.962,8,Simien Mountains   Company Transport;Rufiji Delta  Inc Cargo;Fresh Limited Liability Company;Gulf of Tadjoura  Ltd. Liability Co Logistics;Isla del Este Kga Tidepool,Konkan Coast  SE Marine biology;Portuguese Cuttle GmbH Freight ,0.7709,0.06,0.1824,0.0,0.0,0.8833,1.0,0.251,0.3784,3,MEDIUM,"IsolationForest anomaly (score=0.77) | structural bridge: 4,011 nodes newly reachable via 8 new link(s) | relay successor: inherits predecessor's trade network | fish HS code ratio=25.1%"
Pao gan SE Seal,96423,84,1688,1147.8929,0.1323,2174,1936,0.3736,2912555580.0,2819520.0,stable,0,6.0,0,1.0,0,0,252,1,diversified_broker,anomaly,0.8724,-1,5,0,0,C5-S0,C5-S0-T0,Coral Cove BV Delivery,0.9876,7,The Sea Turtle A/S;Blue Horizon Family &;Salt WaterCo Sp Marine life;1 Ltd. Liability Co Cargo;Rajasthan  Market CJSC Tide,Konkan Coast  SE Marine biology;Orange River Mouth   &;Portuguese Cuttle GmbH Freight ,0.8724,0.06,0.1824,0.0,0.0,0.5891,1.0,0.3736,0.3768,4,MEDIUM,IsolationForest anomaly (score=0.87) | relay successor: inherits predecessor's trade network | fish HS code ratio=37.4%
Fresh Limited Liability Company,153405,84,2668,1826.25,0.2278,4038,2234,0.0015,1604626690.0,0.0,stable,0,0.0,0,1.0,0,0,3022,1,diversified_broker,anomaly,0.8523,-1,5,0,0,C5-S0,C5-S0-T0,Caracola del Sol Services,0.9665,7,TunaTreat Company Marine sanctuary;Black Sea Tuna Snapper;Dutch Mussels GmbH Carriers;Chhattisgarh  Salt spray ОАО United;Kong zhong diao yu  Ges.m.b.H.,Orange River Mouth   &;Portuguese Cuttle GmbH Freight ;Gulf of Guinea   Corporation,0.8523,0.0,0.1824,0.0,0.0,0.8532,1.0,0.0015,0.3758,3,MEDIUM,"IsolationForest anomaly (score=0.85) | structural bridge: 3,022 nodes newly reachable via 7 new link(s) | relay successor: inherits predecessor's trade network"
-1,1,1,1,1.0,0.0,1,1,0.0,7485.0,0.0,short_term,3,26.2,9,1.75,1,0,393,0,short_lived,anomaly,0.5354,0,4,0,0,C4-S0,C4-S0-T0,-10,0.9995,1,Uttar Pradesh s CJSC,,0.5354,0.262,0.2188,0.0,1.0,0.6363,0.0,0.0,0.3758,3,MEDIUM,"IsolationForest anomaly (score=0.54) | dormant 9mo then revived (revival_score=26), Q1 pattern=short_term | business_mode=short_lived"
Mar y Luna Sagl,77702,84,2437,925.0238,0.454,582,1543,0.0003,1760352245.0,0.0,stable,0,3.0,0,1.0,0,0,4659,1,high_volume_distributor,anomaly,0.8009,-1,1,1,0,C1-S1,C1-S1-T0,suō yú Incorporated Brothers,0.9572,4,Saltwater Supreme ОАО Forwading;Sailors and Surfers Incorporated Enterprises;Mar y Luna Ltd. Corporation;Marine Mates NV Worldwide,Seashell s  SRL Consulting;Portuguese Cuttle GmbH Freight ;Orange River Mouth   &,0.8009,0.03,0.1824,0.0,0.0,0.8993,1.0,0.0003,0.375,3,MEDIUM,"IsolationForest anomaly (score=0.80) | structural bridge: 4,659 nodes newly reachable via 4 new link(s) | relay successor: inherits predecessor's trade network"
