predecessor,successor,predecessor_last_month,gap_months_to_2034,shared_partner_count,shared_partner_sample,predecessor_pattern,successor_pattern
Orange River Mouth   &,Fresh Limited Liability Company,2031-11,26,142,1 Ltd. Corporation Transport;3 Logistics Tom yum;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,periodic,stable
Orange River Mouth   &,hǎi dǎn Corporation Wharf,2031-11,26,87,3 Logistics Tom yum;Andhra Pradesh  AG Transport;Aqua Aura Ltd Merchants;Aqua Aura SE Marine life,periodic,stable
Portuguese Cuttle GmbH Freight ,Estrella del Mar Seafarer,2031-01,36,87,-4;-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,stable,stable
Portuguese Cuttle GmbH Freight ,Ola de la Costa N.V.,2031-01,36,85,-4;-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,stable,stable
Orange River Mouth   &,BlueWaterBites GmbH & Co. KG Export,2031-11,26,82,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Adriatic Tuna Company Distribution,periodic,stable
Konkan Coast  SE Marine biology,Costa de la Felicidad Shipping,2030-09,40,82,Ancla del Mar Inc;Aqua Azul Trawler GmbH Logistics;AquaBite Beach ОАО Shipping;AquaBite Pelican Incorporated Transport,stable,stable
Orange River Mouth   &,Ola de la Costa N.V.,2031-11,26,80,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Ancla de Oro Kga Import;Aqua Aura SE Marine life,periodic,stable
Portuguese Cuttle GmbH Freight ,Uttar Pradesh s AG,2031-01,36,80,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Adriatic Mackerel Ges.m.b.H. Family;Angrapa Ltd. Liability Co Export,stable,stable
Konkan Coast  SE Marine biology,Saltwater Supreme ОАО Forwading,2030-09,40,80,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Aqua Azul Trawler GmbH Logistics;AquaBite Beach ОАО Shipping,stable,stable
Orange River Mouth   &,Coastal Cruisers GmbH Logistics,2031-11,26,79,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Ancla de Oro Kga Import,periodic,stable
Orange River Mouth   &,Jharkhand  Ltd. Liability Co Worldwide,2031-11,26,79,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas,periodic,stable
Portuguese Cuttle GmbH Freight ,Maharashtra ers Incorporated Express,2031-01,36,79,-54;3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;3 Trawler Corp Distribution,stable,stable
Orange River Mouth   &,Estrella del Mar Seafarer,2031-11,26,78,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Adriatic Tuna Company Distribution,periodic,stable
Orange River Mouth   &,Uttar Pradesh s AG,2031-11,26,78,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas,periodic,stable
Portuguese Cuttle GmbH Freight ,River Gambia  Brine Pic Express,2031-01,36,78,-54;3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Adriatic Tuna Pic Express,stable,stable
Portuguese Cuttle GmbH Freight ,hǎi dǎn Corporation Wharf,2031-01,36,78,Andhra Pradesh   Limited Liability Company;Aquatic Adventures Ltd. Liability Co;Arena Azul AB Ferry;Arena del Sol Incorporated,stable,stable
Portuguese Cuttle GmbH Freight ,Jharkhand  Ltd. Liability Co Worldwide,2031-01,36,78,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;3 Trawler Corp Distribution;Angrapa Ltd. Liability Co Export,stable,stable
Orange River Mouth   &,River Gambia  Brine Pic Express,2031-11,26,76,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL,periodic,stable
Portuguese Cuttle GmbH Freight ,Aqua Aura SE Marine life,2031-01,36,76,-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Adriatic Mackerel Ges.m.b.H. Family,stable,stable
Konkan Coast  SE Marine biology,Coral Cove BV Delivery,2030-09,40,76,Ancla del Mar Inc;AquaBite Beach ОАО Shipping;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Orange River Mouth   &,Maharashtra ers Incorporated Express,2031-11,26,75,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Adriatic Tuna Company Distribution;Agua S.A. de C.V. Overseas,periodic,stable
Konkan Coast  SE Marine biology,Sailors and Surfers Incorporated Enterprises,2030-09,40,72,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Seashell s  SRL Consulting,Barents Sea Cod CJSC Export,2029-12,49,72,-1457;-1791;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit,stable,stable
Océano de Coral N.V.,Fresh Limited Liability Company,2032-10,15,70,-116;-2053;-267;-4335,stable,stable
Portuguese Cuttle GmbH Freight ,Selous Game Reserve  A/S,2031-01,36,70,-4;-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,stable,stable
Portuguese Cuttle GmbH Freight ,Madagascar   Ltd. Corporation Express,2031-01,36,70,-4;-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,stable,stable
Gulf of Guinea   Corporation,Barents Sea Cod CJSC Export,2032-10,15,69,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Assam  Market Tilapia Ltd Worldwide,general,stable
Orange River Mouth   &,Madagascar   Ltd. Corporation Express,2031-11,26,69,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Ancla de Oro Kga Import,periodic,stable
Portuguese Cuttle GmbH Freight ,Jammu Ltd. Liability Co,2031-01,36,68,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Ancla de Oro Kga Import;Angrapa Ltd. Liability Co Export,stable,stable
Orange River Mouth   &,Aqua Aura SE Marine life,2031-11,26,67,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Arunachal Pradesh s Brine,periodic,stable
Konkan Coast  SE Marine biology,Pao gan SE Seal,2030-09,40,67,Ancla del Mar Inc;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Arunachal Pradesh s S.p.A.,stable,stable
Gulf of Guinea   Corporation,Coastal Cruisers GmbH Logistics,2032-10,15,66,Adriatic Tuna Seabass BV Transit;Aqua Advancements AG Express;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine,general,stable
Portuguese Cuttle GmbH Freight ,Mar y Luna Sagl,2031-01,36,66,-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Ancla de Oro Kga Import,stable,stable
Portuguese Cuttle GmbH Freight ,French Crab S.p.A. Worldwide,2031-01,36,66,-47;Andhra Pradesh   Limited Liability Company;Angrapa Ltd. Liability Co Export;Arena del Sol Incorporated,stable,stable
Konkan Coast  SE Marine biology,Sea Breezes GmbH & Co. KG Shark,2030-09,40,66,Ancla del Mar Inc;Aqua Azul Trawler GmbH Logistics;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Seashell s  SRL Consulting,Maharashtra ers Incorporated Express,2029-12,49,65,-3146;-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit,stable,stable
Orange River Mouth   &,Caracola del Sol Services,2031-11,26,64,3 Logistics Tom yum;Adriatic Tuna Kga Solutions;Ancla del Mar Ltd. Corporation;Aqua Aura SE Marine life,periodic,stable
Seashell s  SRL Consulting,Coastal Cruisers GmbH Logistics,2029-12,49,64,-1791;-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit,stable,stable
Orange River Mouth   &,Jammu Ltd. Liability Co,2031-11,26,63,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Ancla de Oro Kga Import;Aqua Aura SE Marine life,periodic,stable
Orange River Mouth   &,Caracola del Este Corporation Express,2031-11,26,63,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Arunachal Pradesh s Brine,periodic,stable
Portuguese Cuttle GmbH Freight ,Line S.A. de C.V.,2031-01,36,63,-47;3 Oceanography ОАО Marine life;Adriatic Tuna Pic Express;Angrapa Ltd. Liability Co Export,stable,stable
Océano de Coral N.V.,Zambezi Gorge  N.V. Transport,2032-10,15,62,-1717;-2053;-267;-672,stable,stable
Arena del Sol Marine life,Fresh Limited Liability Company,2032-06,19,62,Ancla de Oro Kga Import;Angrapa GmbH & Co. KG Overseas;AquaFresh Foods Ltd. Corporation Worldwide;Atlantic Ocean Coast  Sp Marine,stable,stable
Orange River Mouth   &,Mar y Luna Sagl,2031-11,26,62,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Ancla de Oro Kga Import;Arunachal Pradesh s Brine,periodic,stable
Orange River Mouth   &,bái suō wěn lú Ltd Cargo,2031-11,26,62,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;AquaDelight Inc and Son's,periodic,stable
Portuguese Cuttle GmbH Freight ,Chhattisgarh  GmbH & Co. KG Brothers,2031-01,36,62,-47;-54;-6;3 Oceanography ОАО Marine life,stable,stable
Seashell s  SRL Consulting,Uttar Pradesh s AG,2029-12,49,62,3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine;Benguela Current   GmbH Carriers,stable,stable
Gulf of Guinea   Corporation,Jharkhand  Ltd. Liability Co Worldwide,2032-10,15,61,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship,general,stable
Ancla del Este SE,Zambezi Gorge  N.V. Transport,2032-06,19,61,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Ancla Marina AB Holdings;Andhra Pradesh  Ltd. Liability Co,stable,stable
Ancla del Este SE,Fresh Limited Liability Company,2032-06,19,61,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Ancla Marina AB Holdings;Andhra Pradesh  Ltd. Liability Co,stable,stable
Orange River Mouth   &,Estrella de Mar Consultants -,2031-11,26,61,3 Logistics Tom yum;3 Oceanography ОАО Marine life;Adriatic Tuna Company Distribution;Agua S.A. de C.V. Overseas,periodic,stable
Konkan Coast  SE Marine biology,Caracola Azul Oyj &,2030-09,40,61,Angrapa GmbH & Co. KG Overseas;AquaBite Pelican Incorporated Transport;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company,stable,stable
Orange River Mouth   &,Selous Game Reserve  A/S,2031-11,26,60,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Ancla de Oro Kga Import;Aqua Aura SE Marine life,periodic,stable
Portuguese Cuttle GmbH Freight ,Saltwater Symphony S.A. de C.V.,2031-01,36,60,-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Arunachal Pradesh s Brine,stable,stable
Portuguese Cuttle GmbH Freight ,biān yú AG Forwading,2031-01,36,60,3 Oceanography ОАО Marine life;Adriatic Tuna Company Distribution;Ancla de Oro Kga Import;Andhra Pradesh   Limited Liability Company,stable,stable
Portuguese Cuttle GmbH Freight ,Oceanic Oracle GmbH America,2031-01,36,60,-4;3 Trawler Corp Distribution;Adriatic Tuna Pic Express;Angrapa Ltd. Liability Co Export,stable,stable
Gulf of Guinea   Corporation,Jammu Ltd. Liability Co,2032-10,15,59,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship,general,stable
Portuguese Cuttle GmbH Freight ,Náutica del Norte Kga Holdings,2031-01,36,59,-54;Adriatic Tuna Pic Express;Angrapa Ltd. Liability Co Export;Arunachal Pradesh s Brine,stable,stable
Portuguese Cuttle GmbH Freight ,Uttar Pradesh s CJSC,2031-01,36,59,-54;3 Trawler Corp Distribution;Ancla de Oro Kga Import;Angrapa Ltd. Liability Co Export,stable,stable
Konkan Coast  SE Marine biology,Rift Valley fishery Inc,2030-09,40,59,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company,stable,stable
Seashell s  SRL Consulting,Estrella del Mar Seafarer,2029-12,49,59,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine,stable,stable
Seashell s  SRL Consulting,Jharkhand  Ltd. Liability Co Worldwide,2029-12,49,59,-1791;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;AquaFare S.A. de C.V. Marine,stable,stable
Seashell s  SRL Consulting,BlueWaterBites GmbH & Co. KG Export,2029-12,49,59,-1791;-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit,stable,stable
Gulf of Guinea   Corporation,Ola de la Costa N.V.,2032-10,15,58,9 Seaport SE Carriers;Adriatic Tuna Seabass BV Transit;Aqua Advancements AG Express;Arunachal  Dashi Inc Worldwide,general,stable
Gulf of Guinea   Corporation,BlueWaterBites GmbH & Co. KG Export,2032-10,15,58,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship,general,stable
Náutica del Este ОАО,Fresh Limited Liability Company,2031-12,25,58,-2053;Adriatic Tuna Seabass BV Transit;Agua Oceanfront Limited Liability Company Transportation;Angrapa Ltd. Liability Co Export,stable,stable
Portuguese Cuttle GmbH Freight ,Caracola del Sol Services,2031-01,36,58,-47;Andhra Pradesh   Limited Liability Company;Aquatic Adventures Ltd. Liability Co;Arena del Sol Incorporated,stable,stable
Seashell s  SRL Consulting,Ola de la Costa N.V.,2029-12,49,58,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine,stable,stable
Gulf of Guinea   Corporation,hǎi dǎn Corporation Wharf,2032-10,15,57,9 Seaport SE Carriers;Adriatic Tuna Seabass BV Transit;Aqua Advancements AG Express;Arawak Ltd. Liability Co Transport,general,stable
Gulf of Guinea   Corporation,Uttar Pradesh s AG,2032-10,15,57,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Assam  Market Tilapia Ltd Worldwide,general,stable
Gulf of Guinea   Corporation,Maharashtra ers Incorporated Express,2032-10,15,57,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship,general,stable
Orange River Mouth   &,Uttar Pradesh s CJSC,2031-11,26,57,3 Trawler Corp Distribution;Ancla de Oro Kga Import;Aqua Aura Ltd Merchants;Arunachal Pradesh s Brine,periodic,stable
Orange River Mouth   &,Pao gan SE Seal,2031-11,26,57,3 Logistics Tom yum;3 Oceanography ОАО Marine life;Aqua Aura SE Marine life;Arunachal Pradesh s SRL,periodic,stable
Portuguese Cuttle GmbH Freight ,Estrella de Mar Consultants -,2031-01,36,57,3 Oceanography ОАО Marine life;Adriatic Tuna Company Distribution;Angrapa Ltd. Liability Co Export;Arena Azul AB Ferry,stable,stable
Konkan Coast  SE Marine biology,Océano de Coral Corporation Express,2030-09,40,57,Ancla del Mar Inc;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Barents Sea  Co Import,stable,stable
Konkan Coast  SE Marine biology,Kong zhong diao yu  Ges.m.b.H.,2030-09,40,57,Ancla del Mar Inc;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Barents Sea Cod CJSC Export,stable,stable
Gulf of Guinea   Corporation,River Gambia  Brine Pic Express,2032-10,15,56,Adriatic Tuna Seabass BV Transit;Aqua Advancements AG Express;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine,general,stable
Náutica del Este ОАО,Zambezi Gorge  N.V. Transport,2031-12,25,56,-2053;Adriatic Tuna Seabass BV Transit;Agua Oceanfront Limited Liability Company Transportation;Angrapa Ltd. Liability Co Export,stable,stable
Orange River Mouth   &,French Crab S.p.A. Worldwide,2031-11,26,56,Arunachal Pradesh s Brine;Bay of Bengal's Surfboard;Black Sea Tuna Sagl;Black Sea Tuna Snapper,periodic,stable
Portuguese Cuttle GmbH Freight ,Costa del Sol Co,2031-01,36,56,-4;-47;-54;-6,stable,stable
Portuguese Cuttle GmbH Freight ,Zambezi Valley  Marine biology,2031-01,36,56,-54;3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Adriatic Tuna Pic Express,stable,stable
Portuguese Cuttle GmbH Freight ,Oceanic Oracle GmbH & Co. KG,2031-01,36,55,Adriatic Tuna Company Distribution;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation;Baltic Catch Ltd Coral Reef,stable,stable
Portuguese Cuttle GmbH Freight ,Mar de Estrellas Incorporated,2031-01,36,55,-54;3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;3 Trawler Corp Distribution,stable,stable
Konkan Coast  SE Marine biology,Selous Game Reserve  S.A. de C.V.,2030-09,40,55,Ancla del Mar Inc;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Baltic Catch Jetsam Pic Brothers,stable,stable
Seashell s  SRL Consulting,River Gambia  Brine Pic Express,2029-12,49,55,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;AquaFare S.A. de C.V. Marine,stable,stable
Orange River Mouth   &,xiǎo lóng xiā LC,2031-11,26,54,3 Oceanography ОАО Marine life;Ancla de Oro Kga Import;Aqua Aura SE Marine life;Arunachal Pradesh s SRL,periodic,stable
Orange River Mouth   &,Mar de Estrellas Incorporated,2031-11,26,54,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Aqua Aura SE Marine life,periodic,stable
Portuguese Cuttle GmbH Freight ,The Salty Dog Limited Liability Company,2031-01,36,54,-4;-54;3 Oceanography ОАО Marine life;Adriatic Mackerel Ges.m.b.H. Family,stable,stable
Konkan Coast  SE Marine biology,Fresh Limited Liability Company,2030-09,40,54,Angrapa GmbH & Co. KG Overseas;AquaBite Beach ОАО Shipping;Arena del Sol Tide SE and Son's;Arunachal Pradesh s Company,stable,stable
Orange River Mouth   &,Saltwater Symphony S.A. de C.V.,2031-11,26,53,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL,periodic,stable
Orange River Mouth   &,Costa de la Felicidad Shipping,2031-11,26,53,3 Logistics Tom yum;3 Trawler Corp Distribution;Aqua Aura SE Marine life;Arunachal Pradesh s LC Worldwide,periodic,stable
Portuguese Cuttle GmbH Freight ,Coastal Cruisers Pic Shipping,2031-01,36,53,-54;3 Oceanography ОАО Marine life;Arunachal Pradesh s Brine;Assam  Market Cargo ship Company Marine conservation,stable,stable
Portuguese Cuttle GmbH Freight ,Greek Sea Bass Co,2031-01,36,53,-47;-54;3 Oceanography ОАО Marine life;Baltic Catch Ltd Coral Reef,stable,stable
Saltwater Sanctuary Company Cargo,Fresh Limited Liability Company,2032-03,22,52,-41;-54;-6;3 Oceanography ОАО Marine life,stable,stable
Portuguese Cuttle GmbH Freight ,suō yú Incorporated Brothers,2031-01,36,52,-47;-54;Adriatic Tuna Pic Express;Angrapa Ltd. Liability Co Export,stable,stable
Portuguese Cuttle GmbH Freight ,bái suō wěn lú Ltd Cargo,2031-01,36,52,-4;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Arunachal Pradesh s Brine,stable,stable
Seashell s  SRL Consulting,Jammu Ltd. Liability Co,2029-12,49,52,-1457;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;AquaFare S.A. de C.V. Marine,stable,stable
Gulf of Guinea   Corporation,Madagascar   Ltd. Corporation Express,2032-10,15,51,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Atlántico Sur Cargo ship,general,stable
Orange River Mouth   &,Tide Turners Ltd Transport,2031-11,26,51,3 Oceanography ОАО Marine life;Arunachal Pradesh s SRL;Barco de Plata Corp;Black Sea Tuna Sagl,periodic,stable
Orange River Mouth   &,Mar del Oeste Transport,2031-11,26,51,3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Arunachal Pradesh s SRL;Barco de Plata Corp,periodic,stable
Portuguese Cuttle GmbH Freight ,Costa de la Felicidad Shipping,2031-01,36,51,3 Trawler Corp Distribution;Andhra Pradesh   Limited Liability Company;Aquatic Adventures Ltd. Liability Co;Arena del Sol Incorporated,stable,stable
Portuguese Cuttle GmbH Freight ,Tide Turners Ltd Transport,2031-01,36,51,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;Assam  Market Cargo ship Company Marine conservation;Baltic Catch Ltd Coral Reef,stable,stable
Portuguese Cuttle GmbH Freight ,jīng Coral LLC Carriers,2031-01,36,51,-47;-6;3 Seabreeze Corporation Marine ecology;3 Trawler Corp Distribution,stable,stable
Saltwater Sanctuary Company Cargo,Zambezi Gorge  N.V. Transport,2032-03,22,50,-54;3 Oceanography ОАО Marine life;Ancla Marina AB Holdings;Andhra Pradesh  Ltd. Liability Co,stable,stable
Ola del Mar NV,Line S.A. de C.V.,2031-11,26,50,-16199;-3629;-3732;-4042,stable,stable
Orange River Mouth   &,Coastal Cruisers Pic Shipping,2031-11,26,50,3 Oceanography ОАО Marine life;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL;Barco de Plata Corp,periodic,stable
Orange River Mouth   &,Water Wonders Tidepool Ltd Holdings,2031-11,26,50,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Arunachal Pradesh s Brine,periodic,stable
Orange River Mouth   &,Saltwater Solitude Marine biology,2031-11,26,50,3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Aqua Aura SE Marine life,periodic,stable
Orange River Mouth   &,Sea Breezes N.V. Canal,2031-11,26,50,Adriatic Tuna Company Distribution;Ancla de Oro Kga Import;Arunachal Pradesh s Brine;Arunachal Pradesh s SRL,periodic,stable
Portuguese Cuttle GmbH Freight ,Lake Tana  N.V. Enterprises,2031-01,36,50,-54;Angrapa Ltd. Liability Co Export;Arunachal Pradesh s Brine;AtlanticAppetite Oyster  Ltd. Corporation Investment,stable,stable
Portuguese Cuttle GmbH Freight ,Sea Breezes N.V. Canal,2031-01,36,50,Adriatic Tuna Company Distribution;Adriatic Tuna Pic Express;Ancla de Oro Kga Import;Angrapa Ltd. Liability Co Export,stable,stable
Konkan Coast  SE Marine biology,Olas del Mar Worldwide,2030-09,40,50,Angrapa GmbH & Co. KG Overseas;AquaBite Pelican Incorporated Transport;Arunachal Pradesh s Company;Baltic Catch Jetsam Pic Brothers,stable,stable
Seashell s  SRL Consulting,Madagascar   Ltd. Corporation Express,2029-12,49,50,-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit;Arunachal Pradesh s Brine,stable,stable
Gulf of Guinea   Corporation,Estrella del Mar Seafarer,2032-10,15,49,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Black Sea Tuna Snapper,general,stable
Gulf of Guinea   Corporation,Mar y Luna Sagl,2032-10,15,49,Adriatic Tuna Seabass BV Transit;Arunachal  Dashi Inc Worldwide;Arunachal Pradesh s Brine;Assam  Market Tilapia Ltd Worldwide,general,stable
Gulf of Guinea   Corporation,Aqua Aura SE Marine life,2032-10,15,49,Adriatic Tuna Seabass BV Transit;Aqua Advancements AG Express;Arunachal Pradesh s Brine;Assam  Market Tilapia Ltd Worldwide,general,stable
Océano de Coral N.V.,Barents Sea Cod CJSC Export,2032-10,15,49,-672;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Angrapa Ltd. Liability Co Export,stable,stable
Océano de Coral N.V.,BlueWaterBites GmbH & Co. KG Export,2032-10,15,49,-672;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas;Angrapa Ltd. Liability Co Export,stable,stable
