company_a,company_b,relationship_pattern,confidence,month_overlap_count,month_overlap_jaccard,shared_partner_count,shared_partner_jaccard,gap_months,a_first_month,a_last_month,b_first_month,b_last_month,a_active_months,b_active_months,a_temporal_pattern,b_temporal_pattern,overlap_month_sample
-1248,-3304,substitution,1.0,2,0.1176,2,0.5,,2028-10,2030-08,2028-01,2029-10,6,13,general,periodic,2028-10;2029-01
-3304,-3336,substitution,1.0,3,0.0789,2,0.5,,2028-01,2029-10,2028-12,2031-03,13,28,periodic,stable,2029-01;2029-03;2029-10
-11791,-4387,co_active,1.0,10,0.303,3,1.0,,2029-12,2031-03,2028-01,2031-01,16,27,stable,stable,2029-12;2030-01;2030-02;2030-03;2030-04;2030-05
-5282,-955,co_active,1.0,13,0.2889,5,1.0,,2029-04,2033-02,2028-03,2032-10,27,31,periodic,periodic,2029-04;2029-06;2029-10;2029-11;2030-05;2030-06
-1899,Lake Tanganyika  CJSC Carriers,relay,0.991,0,0.0,2,1.0,1,2028-07,2029-11,2030-01,2030-09,7,5,general,short_term,
-2053,Konkan Coast  SE Marine biology,substitution,0.946,6,0.1304,19,0.3782,,2028-10,2033-04,2028-01,2030-09,19,33,bursty,stable,2028-10;2028-11;2028-12;2029-10;2030-01;2030-09
Anthony Mudflat BV Holdings,Beachcomber's Bounty S.A. de C.V. Logistics,relay,0.928,0,0.0,3,0.3333,8,2031-06,2032-11,2028-08,2030-09,10,7,general,general,
BlueWater Bistro GmbH Industrial,South - AS Transit,relay,0.9,0,0.0,2,0.2857,4,2028-01,2028-02,2028-07,2029-12,2,6,short_term,general,
-4666,-738,relay,0.856,0,0.0,2,0.4,16,2028-01,2030-07,2031-12,2033-05,31,13,stable,stable,
-1516,-2053,substitution,0.846,3,0.0909,5,0.3385,,2028-01,2029-05,2028-10,2033-04,17,19,stable,bursty,2028-10;2028-11;2028-12
-1248,-3365,substitution,0.833,2,0.1111,2,0.3333,,2028-10,2030-08,2029-01,2031-02,6,14,general,periodic,2029-01;2029-07
Adriatic Catch Dry dock Limited Liability Company Holdings,South - AS Transit,substitution,0.833,2,0.0909,2,0.3333,,2028-06,2032-07,2028-07,2029-12,18,6,general,general,2028-07;2029-10
Sea Star Marine life,South - AS Transit,substitution,0.833,0,0.0,2,0.3333,,2028-02,2031-02,2028-07,2029-12,18,6,periodic,general,
Italian Sword AB Seafaring,Playa de la Luna S.p.A.,substitution,0.833,10,0.1266,2,0.3333,,2028-01,2034-11,2028-01,2033-03,68,21,stable,general,2028-01;2028-02;2028-05;2029-01;2029-07;2029-11
-3828,-955,co_active,0.833,9,0.2,4,0.8333,,2030-05,2033-03,2028-03,2032-10,23,31,stable,periodic,2030-05;2030-09;2030-11;2031-05;2031-09;2032-01
-3782,-5280,synchronous,0.828,11,0.8462,3,0.8,,2031-04,2032-02,2030-12,2032-02,11,13,short_term,stable,2031-04;2031-05;2031-06;2031-07;2031-08;2031-09
-737,Caracola Azul Ltd. Corporation,short_term_collab,0.8,8,0.0952,2,0.0018,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Caracola del Sol Services,short_term_collab,0.8,8,0.0952,4,0.0011,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Congo Rapids   Ltd. Corporation,short_term_collab,0.8,8,0.0952,5,0.0059,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Costa de la Felicidad Shipping,short_term_collab,0.8,8,0.0952,4,0.0014,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Kong zhong diao yu  Ges.m.b.H.,short_term_collab,0.8,8,0.0952,4,0.0022,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Nazhivka & A/S Transport,short_term_collab,0.8,8,0.0952,2,0.0025,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Océano de Coral Corporation Express,short_term_collab,0.8,8,0.0952,3,0.0017,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Sailors and Surfers Incorporated Enterprises,short_term_collab,0.8,8,0.0952,5,0.0018,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Saltwater Supreme ОАО Forwading,short_term_collab,0.8,8,0.0952,4,0.0024,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,SeaTree Ltd. Liability Co Holdings,short_term_collab,0.8,8,0.0952,2,0.002,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,SilverStream CJSC Marine conservation,short_term_collab,0.8,8,0.0952,2,0.0027,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Yu xian  SRL Industrial,short_term_collab,0.8,8,0.0952,3,0.0028,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,hǎi dǎn Corporation Wharf,short_term_collab,0.8,8,0.0952,5,0.0008,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,lú yú GmbH & Co. KG,short_term_collab,0.8,8,0.0952,2,0.0021,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
Arunachal Pradesh s A/S Transport,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,16,0.0155,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
AtlanticAppetite Oyster  Ltd. Corporation Investment,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,2,0.0081,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Caracola Azul Oyj &,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,3,0.004,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Chhattisgarh   Marine ecology A/S Delivery,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,16,0.012,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Estrella de Mar AS,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,6,0.0311,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Mar de la Vida Incorporated,short_term_collab,0.8,8,0.0952,2,0.0033,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Océano de Coral Corporation Express,short_term_collab,0.8,8,0.0952,3,0.0017,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,hǎi dǎn Corporation Wharf,short_term_collab,0.8,8,0.0952,10,0.0027,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Kong zhong diao yu  Ges.m.b.H.,Thetis Limited Liability Company Cargo,short_term_collab,0.8,8,0.0952,3,0.0028,,2028-01,2034-12,2029-01,2030-10,84,8,stable,general,2029-01;2029-02;2029-03;2029-09;2030-02;2030-03
Sailors and Surfers Incorporated Enterprises,Thetis Limited Liability Company Cargo,short_term_collab,0.8,8,0.0952,2,0.0011,,2028-01,2034-12,2029-01,2030-10,84,8,stable,general,2029-01;2029-02;2029-03;2029-09;2030-02;2030-03
Thetis Limited Liability Company Cargo,hǎi dǎn Corporation Wharf,short_term_collab,0.8,8,0.0952,2,0.0007,,2029-01,2030-10,2028-01,2034-12,8,84,general,stable,2029-01;2029-02;2029-03;2029-09;2030-02;2030-03
-1835,Belgian Shrimps - Company Brothers,short_term_collab,0.8,8,0.0952,2,0.0051,,2028-06,2030-11,2028-01,2034-12,8,84,general,general,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Caracola del Sol Services,short_term_collab,0.8,8,0.0952,2,0.0016,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Congo Rapids   Ltd. Corporation,short_term_collab,0.8,8,0.0952,2,0.007,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Costa de la Felicidad Shipping,short_term_collab,0.8,8,0.0952,2,0.002,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Fresh Limited Liability Company,short_term_collab,0.8,8,0.0952,2,0.001,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Kong zhong diao yu  Ges.m.b.H.,short_term_collab,0.8,8,0.0952,2,0.0028,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Océano de Coral Corporation Express,short_term_collab,0.8,8,0.0952,2,0.0017,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Panope Limited Liability Company,short_term_collab,0.8,8,0.0952,3,0.009,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,Sea Breezes GmbH & Co. KG Shark,short_term_collab,0.8,8,0.0952,3,0.015,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,hǎi dǎn Corporation Wharf,short_term_collab,0.8,8,0.0952,2,0.0012,,2028-06,2030-11,2028-01,2034-12,8,84,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
Caracola del Sol Services,Coastal Charm AG Overseas,short_term_collab,0.8,8,0.0952,3,0.0011,,2028-01,2034-12,2030-01,2033-03,84,8,stable,general,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
Coastal Charm AG Overseas,Costa de la Felicidad Shipping,short_term_collab,0.8,8,0.0952,3,0.0014,,2030-01,2033-03,2028-01,2034-12,8,84,general,stable,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
Coastal Charm AG Overseas,Costa del Viento Fish  S.p.A. United,short_term_collab,0.8,8,0.0952,2,0.0101,,2030-01,2033-03,2028-01,2034-12,8,84,general,stable,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
Coastal Charm AG Overseas,Mar del Este CJSC,short_term_collab,0.8,8,0.0952,3,0.001,,2030-01,2033-03,2028-01,2034-12,8,84,general,stable,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
Coastal Charm AG Overseas,Océano de Coral Corporation Express,short_term_collab,0.8,8,0.0952,3,0.0017,,2030-01,2033-03,2028-01,2034-12,8,84,general,stable,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
Coastal Charm AG Overseas,hǎi dǎn Corporation Wharf,short_term_collab,0.8,8,0.0952,2,0.0005,,2030-01,2033-03,2028-01,2034-12,8,84,general,stable,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
-737,Coral Cove BV Delivery,short_term_collab,0.8,8,0.0952,3,0.0014,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Irish Sea  Salt spray,short_term_collab,0.8,8,0.0952,2,0.01,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Maharashtra  Ltd. Liability Co Shipping,short_term_collab,0.8,8,0.0952,4,0.0045,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Panope Limited Liability Company,short_term_collab,0.8,8,0.0952,5,0.0056,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Sea Breezes GmbH & Co. KG Shark,short_term_collab,0.8,8,0.0952,5,0.0094,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-1835,OceanGem Limited Liability Company Carriers,short_term_collab,0.8,8,0.0964,2,0.0198,,2028-06,2030-11,2028-01,2034-12,8,83,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
-1835,mán yú S.A. de C.V. Captain,short_term_collab,0.8,8,0.0976,2,0.0244,,2028-06,2030-11,2028-01,2034-12,8,82,general,stable,2028-06;2028-08;2028-09;2028-10;2028-11;2028-12
Barents Sea Cod CJSC Export,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,3,0.0067,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Black Sea Tuna Snapper,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,3,0.0049,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Estrella del Mar Seafarer,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,14,0.0129,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Mar del Este CJSC,short_term_collab,0.8,8,0.0952,6,0.0028,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Olas del Sur Ltd. Corporation,short_term_collab,0.8,8,0.0952,13,0.0619,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Saltwater Solitude Company Worldwide,short_term_collab,0.8,8,0.0952,2,0.0063,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Selous Game Reserve  Kga,short_term_collab,0.8,8,0.0952,16,0.04,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Zambezi Gorge  N.V. Transport,short_term_collab,0.8,8,0.0952,10,0.006,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Coastal Castaway Coast Corporation Worldwide,Coastal Charm AG Overseas,short_term_collab,0.8,8,0.0952,2,0.0024,,2028-01,2034-12,2030-01,2033-03,84,8,stable,general,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
Coastal Charm AG Overseas,Náutica del Sol Corporation,short_term_collab,0.8,8,0.0952,2,0.0027,,2030-01,2033-03,2028-01,2034-12,8,84,general,stable,2030-01;2030-02;2030-11;2030-12;2031-02;2032-03
Aqua Aura SE Marine life,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,2,0.0064,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Coral Cove BV Delivery,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,4,0.0024,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Costa de la Felicidad Shipping,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,5,0.0027,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Fresh Limited Liability Company,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,10,0.0044,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Marine Mates NV Worldwide,short_term_collab,0.8,8,0.0952,2,0.0073,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Olas del Mar Worldwide,short_term_collab,0.8,8,0.0952,3,0.0038,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Sailors and Surfers Incorporated Enterprises,short_term_collab,0.8,8,0.0952,3,0.0022,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Shanxi S.A. de C.V. Salmon,short_term_collab,0.8,8,0.0952,2,0.0135,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Yu xian  SRL Industrial,short_term_collab,0.8,8,0.0952,3,0.0027,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
-2061,Ancla Azul Transportation Seafaring,short_term_collab,0.8,8,0.0952,2,0.0162,,2031-02,2031-10,2028-01,2034-12,8,84,short_term,stable,2031-02;2031-04;2031-05;2031-06;2031-07;2031-08
-2061,Coastal Castaway Coast Corporation Worldwide,short_term_collab,0.8,8,0.0952,2,0.006,,2031-02,2031-10,2028-01,2034-12,8,84,short_term,stable,2031-02;2031-04;2031-05;2031-06;2031-07;2031-08
-2061,Costa de la Felicidad Shipping,short_term_collab,0.8,8,0.0952,2,0.0017,,2031-02,2031-10,2028-01,2034-12,8,84,short_term,stable,2031-02;2031-04;2031-05;2031-06;2031-07;2031-08
-2061,ReefRider Foods Ltd. Corporation Family,short_term_collab,0.8,8,0.0952,2,0.0066,,2031-02,2031-10,2028-01,2034-12,8,84,short_term,stable,2031-02;2031-04;2031-05;2031-06;2031-07;2031-08
-2061,Uttarakhand  Market Limited Liability Company Nautical,short_term_collab,0.8,8,0.0952,2,0.005,,2031-02,2031-10,2028-01,2034-12,8,84,short_term,stable,2031-02;2031-04;2031-05;2031-06;2031-07;2031-08
-737,Arena del Sol OJSC,short_term_collab,0.8,8,0.0952,3,0.03,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-737,Caracola Azul Oyj &,short_term_collab,0.8,8,0.0952,2,0.0016,,2031-09,2032-05,2028-01,2034-12,8,84,short_term,stable,2031-09;2031-10;2031-11;2031-12;2032-01;2032-03
-1918,-2053,short_term_collab,0.8,8,0.2222,4,0.1154,,2028-01,2031-10,2028-10,2033-04,25,19,general,bursty,2028-10;2028-11;2028-12;2030-09;2030-10;2031-07
Caracola del Sol Services,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,11,0.0041,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Chuan gou  Ltd Marine ecology,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,2,0.0117,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Rift Valley fishery Inc,short_term_collab,0.8,8,0.0952,3,0.0038,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Coastal Castaway Coast Corporation Worldwide,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,2,0.0035,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Saltwater Supreme ОАО Forwading,short_term_collab,0.8,8,0.0952,2,0.0023,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
AquaBlue Limited Liability Company Holdings,Mar y Viento A/S,short_term_collab,0.8,8,0.0976,3,0.1552,,2031-02,2031-10,2028-01,2034-12,9,81,short_term,stable,2031-02;2031-03;2031-04;2031-05;2031-06;2031-07
Arunachal Pradesh s A/S Transport,Fresh Limited Liability Company Enterprises,short_term_collab,0.8,8,0.0952,2,0.0014,,2028-01,2034-12,2028-10,2032-07,84,8,stable,general,2028-10;2028-12;2029-04;2029-05;2029-06;2030-03
Chhattisgarh   Marine ecology A/S Delivery,Fresh Limited Liability Company Enterprises,short_term_collab,0.8,8,0.0952,2,0.0014,,2028-01,2034-12,2028-10,2032-07,84,8,stable,general,2028-10;2028-12;2029-04;2029-05;2029-06;2030-03
Coral Cove BV Delivery,Fresh Limited Liability Company Enterprises,short_term_collab,0.8,8,0.0952,2,0.0014,,2028-01,2034-12,2028-10,2032-07,84,8,stable,general,2028-10;2028-12;2029-04;2029-05;2029-06;2030-03
Estrella del Mar Seafarer,Fresh Limited Liability Company Enterprises,short_term_collab,0.8,8,0.0952,2,0.0025,,2028-01,2034-12,2028-10,2032-07,84,8,stable,general,2028-10;2028-12;2029-04;2029-05;2029-06;2030-03
Fresh Limited Liability Company,Fresh Limited Liability Company Enterprises,short_term_collab,0.8,8,0.0952,3,0.0012,,2028-01,2034-12,2028-10,2032-07,84,8,stable,general,2028-10;2028-12;2029-04;2029-05;2029-06;2030-03
Caracola del Sol Services,Water Wonders AS Investment,short_term_collab,0.8,8,0.0952,2,0.0011,,2028-01,2034-12,2029-02,2034-11,84,8,stable,general,2029-02;2029-10;2034-03;2034-04;2034-05;2034-06
Sailors and Surfers Incorporated Enterprises,Water Wonders AS Investment,short_term_collab,0.8,8,0.0952,2,0.0015,,2028-01,2034-12,2029-02,2034-11,84,8,stable,general,2029-02;2029-10;2034-03;2034-04;2034-05;2034-06
Andhra Pradesh   Sextant Oyj Forwading,Rasmus Ltd. Liability Co,short_term_collab,0.8,8,0.0976,2,0.0988,,2028-01,2034-12,2029-01,2030-07,78,12,general,stable,2029-02;2029-03;2029-04;2029-08;2029-09;2029-11
-3302,-3336,short_term_collab,0.8,8,0.25,2,0.75,,2028-06,2030-01,2028-12,2031-03,12,28,stable,stable,2028-12;2029-01;2029-02;2029-03;2029-04;2029-05
Manipur  Market Ltd. Liability Co,Sailors and Surfers BV Marina,short_term_collab,0.8,8,0.0964,2,0.0233,,2028-01,2034-12,2028-08,2030-02,83,8,stable,periodic,2028-08;2028-09;2028-10;2029-01;2029-05;2029-08
Sailors and Surfers BV Marina,Uttar Pradesh s AG,short_term_collab,0.8,8,0.0952,2,0.0069,,2028-08,2030-02,2028-01,2034-12,8,84,periodic,stable,2028-08;2028-09;2028-10;2029-01;2029-05;2029-08
Jammu Ltd. Liability Co,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,2,0.0105,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Madhya Pradesh   SRL Line,Selous Game Reserve  S.A. de C.V.,short_term_collab,0.8,8,0.0952,4,0.0035,,2028-01,2028-11,2028-01,2034-12,8,84,short_term,stable,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
Black Sea Tuna Sagl,Madhya Pradesh   SRL Line,short_term_collab,0.8,8,0.0952,2,0.004,,2028-01,2034-12,2028-01,2028-11,84,8,stable,short_term,2028-01;2028-05;2028-06;2028-07;2028-08;2028-09
